Individual 1
Photo 9, 37.8632168583, 9.99585074874, 
Photo 2, 52.2688968356, 1.4497782685, 
Photo 8, 55.0184438664, 14.0716936919, 
Photo 7, 56.4610092325, 3.33039880579, 
Photo 3, 57.1931282358, 15.1709058007, 
Photo 6, 75.5612700031, 12.7502382404, 
Photo 10, 76.6177023674, 14.4452231434, 
Photo 1, 83.4779248934, 7.38496653643, 
Photo 5, 94.9711366241, 5.39662067385, 
Photo 4, 99.7159468084, 26.4223447158, 
Individual 2
Photo 3, 31.484112929, 0.240426597207, 
Photo 8, 34.4346420013, 5.70828094512, 
Photo 4, 35.5887088808, 7.83082865329, 
Photo 1, 39.0019933441, 7.72771132322, 
Photo 2, 46.3745112247, 5.52280069619, 
Photo 9, 58.4283827182, 9.1034059989, 
Photo 5, 66.1282264753, 5.49249241821, 
Photo 10, 69.5683894138, 17.5568912065, 
Photo 7, 81.9578126371, 19.1497376411, 
Photo 6, 91.9308261115, 12.7690116822, 
Individual 3
Photo 3, 30.5799435753, 4.11328215589, 
Photo 1, 33.1475663078, 2.61957342493, 
Photo 5, 38.1080949478, 9.2068119602, 
Photo 4, 39.7513776814, 3.73586148227, 
Photo 6, 44.7363761365, 6.02867297848, 
Photo 9, 46.4519204948, 4.89779403146, 
Photo 2, 50.2847663823, 8.91629290402, 
Photo 8, 64.2359489932, 15.4578450161, 
Photo 7, 73.6228365867, 6.65778848133, 
Photo 10, 78.260161862, 10.91050353, 
Individual 4
Photo 9, 21.7187309903, 3.4910173064, 
Photo 1, 26.0163957448, 6.05883704094, 
Photo 6, 31.0155566169, 7.57278157191, 
Photo 3, 34.3336587714, 8.09224310163, 
Photo 4, 42.0254874544, 7.40390088597, 
Photo 8, 65.8226451377, 8.9639512542, 
Photo 10, 71.4799239293, 12.2182485216, 
Photo 7, 87.8218492969, 11.361086424, 
Photo 2, 91.2254093784, 17.4530468911, 
Photo 5, 98.448918061, 9.44283102792, 
Individual 5
Photo 6, 27.0216162166, 3.29323655195, 
Photo 7, 41.7469725504, 10.6421659991, 
Photo 10, 46.2830717063, 11.7477511066, 
Photo 2, 46.8498990049, 7.37676899693, 
Photo 4, 49.9601217247, 9.72720451874, 
Photo 3, 55.0960402858, 11.0198645735, 
Photo 9, 55.5057570811, 5.57956242528, 
Photo 5, 56.2147149025, 12.4398137105, 
Photo 8, 63.9003008746, 13.9563793054, 
Photo 1, 77.9981170612, 4.84092109665, 
